,Duration (s),End Time (s),Start Time (s),Test Name
0,2.5023982524871826,1564459488.557882,1564459486.0554838,CSV file read-write
1,0.7727460861206055,1564459489.331624,1564459488.558878,Image file read-rotate-write
2,2.2855160236358643,1564459491.619276,1564459489.33376,ND-Array power calculation
3,1.570300817489624,1564459493.1916218,1564459491.621321,Mandelbrot set in Python
4,2.315506935119629,1564459495.508267,1564459493.19276,CSV file read-write
5,0.7656550407409668,1564459496.274771,1564459495.509116,Image file read-rotate-write
6,2.174049139022827,1564459498.450741,1564459496.276692,ND-Array power calculation
7,1.5323891639709473,1564459499.9852202,1564459498.452831,Mandelbrot set in Python
8,2.298650026321411,1564459502.285283,1564459499.986633,CSV file read-write
9,0.7604978084564209,1564459503.0467389,1564459502.286241,Image file read-rotate-write
10,2.183777093887329,1564459505.2323892,1564459503.048612,ND-Array power calculation
11,1.5458791255950928,1564459506.780224,1564459505.234345,Mandelbrot set in Python
