,Duration (s),End Time (s),Start Time (s),Test Name
0,2.3703408241271973,1564384076.3983989,1564384074.028058,CSV file read-write
1,1.6340768337249756,1564384078.033352,1564384076.399275,Image file read-rotate-write
2,2.248222827911377,1564384080.28317,1564384078.0349472,ND-Array power calculation
3,1.9609808921813965,1564384082.246412,1564384080.2854311,Mandelbrot set in Python
4,2.4122941493988037,1564384084.6599512,1564384082.247657,CSV file read-write
5,1.6023120880126953,1564384086.263838,1564384084.661526,Image file read-rotate-write
6,2.2416679859161377,1564384088.506902,1564384086.265234,ND-Array power calculation
7,1.943979024887085,1564384090.4523919,1564384088.5084128,Mandelbrot set in Python
8,2.345672130584717,1564384092.799335,1564384090.4536629,CSV file read-write
9,1.5695838928222656,1564384094.369874,1564384092.80029,Image file read-rotate-write
10,2.2651548385620117,1564384096.637831,1564384094.3726761,ND-Array power calculation
11,1.9116528034210205,1564384098.5510669,1564384096.639414,Mandelbrot set in Python
